Issue Type,Summary,Priority,Labels,Description,Acceptance Criteria,Dependencies
Story,"Implement persistent Qdrant deployment for RAG index storage",Highest,"rag,qdrant,infra,search","Replace in-memory Qdrant usage with a dedicated persistent Qdrant service so embeddings and chunk metadata survive sidecar and stack restarts.","Qdrant runs as a dedicated persistent service in Docker Compose; RAG sidecar connects to external Qdrant instead of in-memory mode; Collections are created automatically on startup with expected vector dimensions and distance metric; Restarting the sidecar does not remove indexed documents; Restarting the full stack preserves index data through mounted volumes; Operational runbook documents ports, persistence path, health checks, and recovery steps",""
Story,"Support append-only multi-document indexing in the RAG pipeline",Highest,"rag,indexing,search,mayan","Update ingestion so syncing one document appends or updates only that document instead of replacing the whole index.","Syncing one document does not remove previously indexed documents; Re-syncing an existing document updates only that document’s chunks and metadata; Each indexed chunk contains a stable document identifier and version-aware metadata; Search can return results from multiple documents in a single query; A document delete or de-index operation removes only that document’s chunks; Automated tests cover first sync, re-sync, and multi-document search behavior","Implement persistent Qdrant deployment for RAG index storage"
Story,"Add document-scoped search filters to chat and search APIs",High,"rag,ui,api,search","Allow users to search either a specific document or the full indexed corpus through both the sidecar API and Mayan chat UI.","Search API accepts optional document scope filters; Hybrid retrieval applies the filter consistently to vector, BM25, and reranking stages; Chat UI includes a selector for All documents and individual indexed documents; Search results clearly show document identity when cross-document search is used; Empty-state and error messaging are handled for filtered queries; Tests cover scoped and unscoped retrieval","Support append-only multi-document indexing in the RAG pipeline"
Story,"Benchmark and upgrade embedding model for retrieval quality",Medium,"rag,embeddings,evaluation,ml","Benchmark the current embedding model against a stronger alternative and adopt the better option if quality gains justify the cost.","A representative evaluation dataset is defined from EDMS documents and queries; Retrieval quality metrics are captured for the current and candidate embedding models; Memory, latency, and indexing throughput are measured for both models; A recommendation is documented with clear tradeoffs; If the new model is approved, configuration and collection setup are updated accordingly","Implement persistent Qdrant deployment for RAG index storage"
Story,"Trigger automatic RAG indexing from Mayan upload and OCR workflows",Highest,"mayan,workflow,automation,rag","Configure Mayan workflows to invoke the sidecar webhook automatically after OCR or text extraction completes.","Mayan workflow sends webhook events after OCR or text extraction completes; Webhook payload contains enough identifiers to fetch document content and metadata; Duplicate webhook deliveries are handled idempotently; Failed indexing attempts are logged and retriable; An end-to-end demo proves upload to searchable document with no manual step; Documentation explains required Mayan workflow configuration","Support append-only multi-document indexing in the RAG pipeline"
Bug,"Fix PDF highlight rendering and citation navigation in Mayan chat",High,"mayan,ui,pdf,citations","Resolve client-side issues so citation clicks consistently open the right page and render bounding box highlights.","Clicking a citation opens the correct document page in the embedded viewer; Highlight overlays render correctly for supported documents and browsers; Cross-origin and PDF rendering issues are resolved or documented with a fallback; The UI gracefully handles missing or malformed bounding boxes; Manual verification covers at least Chrome and one additional browser",""
Story,"Implement chat history and user session persistence",High,"chat,sessions,mayan,rag","Persist per-user conversations so chat can be resumed, reviewed, and exported.","Conversations are stored with user identity, timestamps, and document scope context; Users can resume previous chat sessions from the Mayan UI; A new chat can be started without overwriting existing history; Export of a chat transcript is supported in at least one durable format; Retention and deletion rules are documented; Basic access controls prevent one user from reading another user’s chats",""
Story,"Improve Mayan RAG chat UX for loading, stats, errors, and mobile layouts",Medium,"ui,ux,mayan,rag","Improve the native chat app with real indexing stats, better loading states, clearer errors, and responsive layout behavior.","UI shows actual indexed document and chunk counts from the sidecar; Indexing and search actions display loading states and progress feedback; User-facing error messages are specific and actionable; Layout remains usable on tablet and mobile widths; Visual regressions are checked for the chat panel and PDF viewer states","Support append-only multi-document indexing in the RAG pipeline"
Story,"Add multimodal image extraction and caption indexing for scanned PDFs",High,"rag,multimodal,ocr,vision","Extend ingestion to extract images, caption them with a vision-capable model, and index them as searchable chunks.","PDF images or image-heavy regions are extracted during ingestion; Captions are generated through a configurable vision model provider; Caption chunks are stored with source page and image metadata; Search can retrieve caption-derived matches alongside text chunks; The answer generation path can cite image-derived evidence clearly; Provider failures degrade gracefully without blocking text indexing","Support append-only multi-document indexing in the RAG pipeline"
Story,"Build a retrieval evaluation suite for RAG relevance and citation accuracy",Medium,"rag,evaluation,quality,testing","Create a repeatable evaluation suite for retrieval relevance, grounded answers, and citation correctness.","Evaluation dataset includes representative questions, expected source pages, and target documents; Retrieval metrics include at least Recall@K or MRR for search results; Answer evaluation checks groundedness and citation correctness; Results can be run repeatedly in local or CI environments; Baseline scores are recorded for the current system","Support append-only multi-document indexing in the RAG pipeline"
Story,"Enforce Mayan ACL-aware filtering in RAG search results",Highest,"security,acl,mayan,rag","Ensure RAG search and chat only return content from documents the authenticated user is permitted to read.","Search requests carry user context from the Mayan app to the sidecar; Sidecar validates or consumes document ACL metadata before returning results; Unauthorized documents are excluded from retrieval and answer context; Access control behavior is covered by tests for allow and deny cases; Failure modes default to deny rather than broad exposure","Support append-only multi-document indexing in the RAG pipeline"
Story,"Add RAG audit logging for searches, syncs, and chat actions",High,"audit,observability,security,rag","Add structured audit logging for indexing, searches, answers, and admin operations performed by the RAG subsystem.","Search, sync, indexing, and chat actions emit structured audit events; Events include actor, timestamp, document scope, and outcome status; Sensitive content is redacted or minimized in logs; Failed operations are logged with diagnostic context; Audit storage destination and retention policy are documented",""
Story,"Add API gateway protections for the RAG sidecar endpoints",Medium,"security,gateway,rate-limiting,infra","Harden the exposed RAG endpoints behind a proper gateway or reverse proxy with auth and rate limiting controls.","RAG endpoints are routed through the chosen gateway or protected reverse proxy; TLS termination and origin policy are defined for browser-facing requests; Rate limits are configured for search, sync, and webhook endpoints; Direct unauthenticated access paths are removed or explicitly restricted; Deployment documentation includes networking and security assumptions",""
Story,"Add operational health checks, metrics, and failure dashboards for RAG services",Medium,"observability,infra,rag,operations","Add service health visibility and metrics so indexing, vector storage, and LLM failures are diagnosable.","Health endpoints report readiness for sidecar dependencies such as Qdrant and Mayan connectivity; Metrics cover indexing throughput, search latency, error rates, and queue backlog if present; Logs are structured enough to correlate a request across Mayan and sidecar boundaries; Dashboard or documented queries exist for common failures; Alerts or alerting hooks are defined for critical outage states","Implement persistent Qdrant deployment for RAG index storage"
